Time,Healthy,Outer Race,Inner Race,
0,0.8315881,-0.06989686,-0.1762558,
0.000204801,-1.511027,-1.207542,-0.2314103,
0.000409601,1.177196,-0.403396,-1.607862,
0.000614402,-0.8906066,-0.09680962,-0.1942591,
0.000819202,-0.6582488,-0.7395654,0.2545206,
0.001024003,2.287067,1.165998,-1.042546,
0.001228803,0.6389041,-0.03726192,-0.6461768,
0.001433604,-1.051136,-1.146321,-0.4142989,
0.001638404,0.2159296,-1.358731,-0.1692907,
0.001843205,0.4080845,0.1461927,-0.2593936,
0.002048005,-0.1631624,-0.4101887,0.341424,
0.002252806,1.058347,0.4426268,0.2548897,
0.002457606,0.6347078,0.3155203,0.7442539,
0.002662407,-1.790775,-0.8669549,1.201623,
0.002867207,-0.9052382,-0.08874933,0.6603284,
0.003072008,0.7505298,-0.5348586,0.3236791,
0.003276808,-0.356351,0.5936434,-1.283567,
0.003481609,0.1050176,0.1922902,-0.4962554,
0.003686409,-1.357193,0.6448355,0.1327671,
0.00389121,-0.7704283,-0.2881277,-1.023263,
0.00409601,0.9135447,-0.5635065,-3.891163,
0.004300811,-0.1082048,-0.7407837,2.160588,
0.004505612,0.05606516,-0.01369634,-0.2756742,
0.004710412,0.6975042,-0.4544404,-8.270398,
0.004915213,-1.569418,1.709298,-1.532944,
0.005120013,-1.677648,-0.9381192,-2.08919,
0.005324814,-1.817122,-0.315668,-0.01116135,
0.005529614,-1.352849,1.538396,-0.1498845,
0.005734415,-0.447586,1.459737,-0.7720281,
0.005939215,0.4907916,0.025313,0.2605381,
0.006144016,-1.044343,-0.6745539,-0.752868,
0.006348816,-0.788321,-1.257011,0.2968032,
0.006553617,-0.03910779,-0.2022579,-0.6619159,
0.006758417,0.6042756,-1.694236,-0.6790702,
0.006963218,-0.2069218,-0.3551573,-0.05846479,
0.007168018,0.326817,0.9363595,-0.3548743,
0.007372819,-0.3717455,0.5414177,0.2078939,
0.007577619,2.187095,-0.3541236,-0.2106997,
0.00778242,1.371701,0.4223346,0.2653743,
0.00798722,0.2814087,-0.7118405,-0.1429563,
0.008192021,0.1470911,-0.5982335,-0.005808331,
0.008396821,0.09780639,0.6245063,0.09412695,
0.008601622,1.419558,-0.5979381,-0.254299,
0.008806423,-1.625865,-0.8108159,0.07604975,
0.009011223,-1.307354,-0.3737144,-0.7563382,
0.009216024,-1.447468,-0.2672078,0.6649185,
0.009420824,0.7825249,0.2571048,-0.7049862,
0.009625625,-1.67019,0.5366676,-0.2566495,
0.009830425,0.06379319,2.882126,-0.04971537,
0.010035226,0.4264816,1.810279,-0.6701115,
0.010240026,1.009702,-1.416605,-0.8304929,
0.010444827,-1.057928,-0.8102375,-0.2006582,
0.010649627,-0.1450237,-1.235464,0.4610486,
0.010854428,0.8783993,0.739147,-1.115655,
0.011059228,-0.281261,-2.433998,-0.6980088,
0.011264029,-0.5237219,1.775946,-0.5457124,
0.011468829,-1.518152,2.855213,-0.09568979,
0.01167363,0.02213811,1.210508,-7.334925,
0.01187843,0.3820947,-0.4781905,3.473616,
0.012083231,1.463306,-0.8929447,-0.9506343,
0.012288031,-0.01437316,2.430516,-10.92761,
0.012492832,-1.07096,0.7916803,1.216525,
0.012697633,0.3512933,-2.306424,-6.222297,
0.012902433,-0.7944369,-1.633285,-2.243283,
0.013107234,-0.007334248,-0.07854783,-0.3970093,
0.013312034,0.03936621,0.6172705,1.596614,
0.013516835,-0.0440301,-0.2706904,0.9161534,
0.013721635,-1.693596,-1.600724,-0.5683796,
0.013926436,-1.012151,0.02260573,1.112874,
0.014131236,-0.9187623,-0.1692907,-1.902191,
0.014336037,1.076744,-0.839636,-0.9686499,
0.014540837,-1.285844,-0.4980521,0.6127174,
0.014745638,-0.582962,-0.02835253,0.4283767,
0.014950438,-1.049843,-0.7649769,-1.065853,
0.015155239,-0.7853307,-0.4577999,1.437919,
0.015360039,0.5989718,-1.039002,-0.3028085,
0.01556484,0.03787721,0.04453464,-0.5097549,
0.01576964,-0.7331787,-1.358263,0.08254721,
0.015974441,-0.7489547,0.2006089,-0.5561476,
0.016179241,0.8720372,0.3717332,-0.5101733,
0.016384042,-1.178451,0.02858634,0.6043125,
0.016588842,-0.435674,-0.1431655,-0.01550529,
0.016793643,0.2619655,-0.1128071,-0.6217252,
0.016998444,-1.49535,-0.5371229,0.07581595,
0.017203244,0.9627554,-0.7169474,-0.006669736,
0.017408045,0.1334932,0.4078261,-0.1595937,
0.017612845,-0.8540338,-0.63995,-0.6611529,
0.017817646,0.531413,0.2242114,-0.8879117,
0.018022446,1.233557,0.2824916,-0.208903,
0.018227247,1.347594,0.4121085,-0.8085516,
0.018432047,1.688415,-0.4409163,0.3420024,
0.018636848,1.388622,-0.2001782,-0.5081182,
0.018841648,0.3678691,-0.2443929,-0.8573318,
0.019046449,-0.6035988,0.394868,0.1720349,
0.019251249,-1.911052,0.09439768,-0.1179017,
0.01945605,-0.1569234,-0.6189195,2.098567,
0.01966085,-1.441291,-0.1486047,-2.021459,
0.019865651,-0.2392614,0.6449708,1.299639,
0.020070451,-0.444608,-1.08425,0.09879085,
0.020275252,-0.8429956,0.3230884,-1.974254,
0.020480052,0.07474534,-0.09429923,0.4413101,
0.020684853,0.03012456,-0.2049159,-0.608115,
0.020889653,-0.08765411,-0.003076446,2.408452,
0.021094454,0.5464261,-1.646354,-1.737171,
0.021299255,0.8422942,-0.7846661,1.136919,
0.021504055,-0.1639869,0.05919083,-0.04558063,
0.021708856,1.310861,0.2293798,-2.077327,
0.021913656,-0.5907761,0.8425894,-0.8282778,
0.022118457,1.153704,-0.01975079,-0.3892443,
0.022323257,-1.85346,1.213917,-0.3313948,
0.022528058,0.5038727,0.2732131,-0.3507149,
0.022732858,0.8990361,-0.29796,-0.6420051,
0.022937659,-1.535073,-0.1752221,-0.6312007,
0.023142459,2.095749,0.7279856,-0.7477241,
0.02334726,-1.592455,-0.1093861,0.9821863,
0.02355206,0.68494,-1.868683,-0.1222949,
0.023756861,-1.419878,2.389993,0.4846757,
0.023961661,-1.250317,2.36575,-0.219929,
0.024166462,1.097947,-0.1543022,-0.7664905,
0.024371262,0.7313944,-0.1271065,-0.3454849,
0.024576063,0.3400212,-0.7478472,-0.4063493,
0.024780863,-0.5983073,1.951895,-0.1214335,
0.024985664,0.3115579,1.589932,-0.1326318,
0.025190464,0.2108719,-1.186056,-0.0793354,
0.025395265,-1.835469,-1.175203,0.221418,
0.025600066,-1.418008,-0.3156311,-0.4049096,
0.025804866,0.3065371,-1.760798,0.3239621,
0.026009667,-0.3050973,-0.5344157,0.3921854,
0.026214467,0.3718686,-0.0693308,0.01177664,
0.026419268,0.3266325,0.7074596,-0.4597811,
0.026624068,-0.3786983,0.02074756,-0.7139693,
0.026828869,-1.044773,0.6941571,0.5869122,
0.027033669,0.3296351,-0.4649741,-0.04650357,
0.02723847,1.279248,0.5963876,-0.1098784,
0.02744327,0.02916471,0.5716653,0.03535452,
0.027648071,-0.4229006,0.1603444,0.522922,
0.027852871,-0.07163198,0.7400576,0.0676449,
0.028057672,-2.879812,-0.6804361,0.05397318,
0.028262472,0.5508808,-0.5029621,0.6058508,
0.028467273,0.2484169,-0.6035618,1.087462,
0.028672073,-0.4772922,-0.4741296,-1.383355,
0.028876874,0.2657804,-1.112923,-2.410174,
0.029081674,-1.000116,-0.4813531,-6.477754,
0.029286475,-0.8816726,-0.4531114,-5.328873,
